incident_id,start_time,end_time,segment_id,incident_type,severity,lanes_blocked
INC_501_00001,2026-01-01 06:13:00,2026-01-01 06:45:00,R0435,stalled_vehicle,1,2
INC_501_00002,2026-01-01 08:27:00,2026-01-01 09:10:00,R0376,demand_surge,1,1
INC_501_00003,2026-01-01 21:57:00,2026-01-01 22:40:00,R0067,stalled_vehicle,2,2
INC_501_00004,2026-01-01 15:04:00,2026-01-01 15:36:00,R0137,accident_like,1,1
INC_501_00005,2026-01-01 06:05:00,2026-01-01 06:20:00,R0341,road_closure,2,1
INC_501_00006,2026-01-02 12:51:00,2026-01-02 13:54:00,R0177,stalled_vehicle,3,2
INC_501_00007,2026-01-02 11:58:00,2026-01-02 12:29:00,R0406,lane_blockage,1,2
INC_501_00008,2026-01-02 14:46:00,2026-01-02 15:10:00,R0199,accident_like,1,1
INC_501_00009,2026-01-02 08:53:00,2026-01-02 09:24:00,R0435,lane_blockage,3,1
INC_501_00010,2026-01-02 16:44:00,2026-01-02 17:38:00,R0043,stalled_vehicle,3,1
INC_501_00011,2026-01-03 14:00:00,2026-01-03 14:30:00,R0144,lane_blockage,3,1
INC_501_00012,2026-01-03 20:50:00,2026-01-03 21:37:00,R0251,stalled_vehicle,2,1
INC_501_00013,2026-01-04 07:05:00,2026-01-04 07:34:00,R0020,stalled_vehicle,1,1
INC_501_00014,2026-01-04 08:13:00,2026-01-04 08:37:00,R0313,accident_like,2,1
INC_501_00015,2026-01-04 20:43:00,2026-01-04 21:32:00,R0097,stalled_vehicle,1,2
INC_501_00016,2026-01-04 16:12:00,2026-01-04 16:33:00,R0113,stalled_vehicle,1,2
INC_501_00017,2026-01-04 14:05:00,2026-01-04 14:21:00,R0262,lane_blockage,2,1
INC_501_00018,2026-01-05 20:47:00,2026-01-05 21:35:00,R0436,road_closure,1,2
INC_501_00019,2026-01-05 14:45:00,2026-01-05 15:00:00,R0330,demand_surge,1,1
INC_501_00020,2026-01-05 06:03:00,2026-01-05 06:15:00,R0298,stalled_vehicle,1,1
INC_501_00021,2026-01-06 13:48:00,2026-01-06 14:33:00,R0265,lane_blockage,2,2
INC_501_00022,2026-01-06 10:36:00,2026-01-06 11:08:00,R0341,demand_surge,1,1
INC_501_00023,2026-01-07 14:20:00,2026-01-07 14:58:00,R0372,accident_like,1,1
INC_501_00024,2026-01-07 13:21:00,2026-01-07 13:46:00,R0161,lane_blockage,2,1
INC_501_00025,2026-01-07 21:22:00,2026-01-07 21:45:00,R0415,lane_blockage,3,1
INC_501_00026,2026-01-08 12:01:00,2026-01-08 12:16:00,R0278,lane_blockage,1,1
INC_501_00027,2026-01-08 07:44:00,2026-01-08 08:29:00,R0069,stalled_vehicle,2,2
INC_501_00028,2026-01-08 09:26:00,2026-01-08 09:36:00,R0364,accident_like,2,1
INC_501_00029,2026-01-09 06:42:00,2026-01-09 07:26:00,R0237,lane_blockage,3,2
INC_501_00030,2026-01-09 11:54:00,2026-01-09 12:17:00,R0373,accident_like,1,1
INC_501_00031,2026-01-09 10:28:00,2026-01-09 11:08:00,R0423,lane_blockage,1,1
INC_501_00032,2026-01-10 16:36:00,2026-01-10 17:10:00,R0180,accident_like,2,2
INC_501_00033,2026-01-10 09:59:00,2026-01-10 10:39:00,R0089,stalled_vehicle,1,2
INC_501_00034,2026-01-10 21:49:00,2026-01-10 22:02:00,R0212,lane_blockage,1,2
INC_501_00035,2026-01-11 12:12:00,2026-01-11 12:32:00,R0145,lane_blockage,2,2
INC_501_00036,2026-01-11 07:16:00,2026-01-11 08:03:00,R0363,accident_like,1,1
INC_501_00037,2026-01-11 13:47:00,2026-01-11 14:10:00,R0075,accident_like,1,2
INC_501_00038,2026-01-12 17:31:00,2026-01-12 17:54:00,R0133,accident_like,2,1
INC_501_00039,2026-01-12 12:17:00,2026-01-12 12:28:00,R0214,road_closure,2,2
INC_501_00040,2026-01-12 09:58:00,2026-01-12 10:35:00,R0264,accident_like,1,1
INC_501_00041,2026-01-13 07:36:00,2026-01-13 08:24:00,R0416,lane_blockage,3,2
INC_501_00042,2026-01-13 14:58:00,2026-01-13 15:10:00,R0211,accident_like,2,1
INC_501_00043,2026-01-13 19:32:00,2026-01-13 20:05:00,R0230,demand_surge,2,1
INC_501_00044,2026-01-14 20:21:00,2026-01-14 21:04:00,R0357,accident_like,1,1
INC_501_00045,2026-01-14 13:05:00,2026-01-14 13:48:00,R0278,stalled_vehicle,1,1
INC_501_00046,2026-01-15 20:47:00,2026-01-15 21:16:00,R0167,accident_like,1,1
INC_501_00047,2026-01-15 06:17:00,2026-01-15 06:31:00,R0179,lane_blockage,1,2
INC_501_00048,2026-01-15 17:52:00,2026-01-15 18:17:00,R0183,lane_blockage,3,1
INC_501_00049,2026-01-15 07:51:00,2026-01-15 08:15:00,R0166,road_closure,2,2
