segment_id,source_node,target_node,road_class,lanes,free_flow_speed_kmh,capacity_vph,length_km,grade_pct,signal_id,structural_bottleneck,importance,peak_capacity_factor
R0001,N001,N002,collector,3,60.0,2700.0,1.69,3.45,SIG069,0,0.7305336154401664,1.0
R0002,N002,N001,collector,3,30.0,2700.0,1.78,3.69,SIG088,0,0.8619939550461722,1.0
R0003,N001,N013,collector,2,30.0,1800.0,0.893,-2.95,SIG061,0,0.8582665066556621,1.0
R0004,N013,N001,collector,3,60.0,2700.0,1.311,-2.86,SIG088,0,0.6130158643805834,1.0
R0005,N002,N003,collector,3,40.0,2700.0,0.794,-2.1,SIG065,0,0.6536189296020534,1.0
R0006,N003,N002,collector,3,40.0,2700.0,0.825,3.32,SIG069,0,0.7006395142957513,1.0
R0007,N002,N014,collector,2,50.0,1800.0,0.795,3.99,,0,0.8537533427506035,1.0
R0008,N014,N002,collector,2,50.0,1800.0,1.592,-2.2,SIG069,0,0.7043864528609101,1.0
R0009,N003,N004,arterial,1,50.0,1035.0,1.12,2.79,,0,1.0604338859921203,1.0
R0010,N004,N003,arterial,2,30.0,2070.0,1.179,-0.38,SIG065,0,1.0040839664778936,1.0
R0011,N003,N015,arterial,2,50.0,2070.0,1.17,-3.4,SIG001,0,1.2379449586344993,1.0
R0012,N015,N003,arterial,2,40.0,2070.0,0.825,2.42,SIG065,0,1.3032686541034266,1.0
R0013,N004,N005,collector,3,30.0,2700.0,1.052,-0.13,SIG062,0,0.8597574733637837,1.0
R0014,N005,N004,collector,2,40.0,1800.0,0.882,2.56,,0,0.7874337140951665,1.0
R0015,N004,N016,collector,2,60.0,1800.0,0.995,-1.77,SIG006,0,0.8412174458379911,1.0
R0016,N016,N004,collector,2,60.0,1800.0,1.688,-3.67,,0,0.7987052082373174,1.0
R0017,N005,N006,collector,2,60.0,1800.0,0.942,0.34,SIG072,0,0.5978242125779955,1.0
R0018,N006,N005,collector,1,50.0,900.0,1.157,1.06,SIG062,0,0.5984338793362096,1.0
R0019,N005,N017,collector,2,40.0,1800.0,1.172,-2.35,,0,0.7260987197721256,1.0
R0020,N017,N005,collector,2,60.0,1800.0,1.644,0.93,SIG062,0,0.618171439656672,1.0
R0021,N006,N007,arterial,2,40.0,2070.0,1.625,0.32,,0,0.9726815671296083,1.0
R0022,N007,N006,arterial,2,50.0,2070.0,1.375,0.2,SIG072,0,1.212835938130453,1.0
R0023,N006,N018,arterial,3,40.0,3105.0,1.726,-0.47,SIG004,0,1.2441170810713975,1.0
R0024,N018,N006,arterial,2,30.0,2070.0,1.142,-3.0,SIG072,0,1.0570759166773869,1.0
R0025,N007,N008,collector,2,60.0,1800.0,1.007,-0.86,SIG071,0,0.5686080071650352,1.0
R0026,N008,N007,collector,2,60.0,1800.0,1.297,-2.72,,0,0.7953407523857293,1.0
R0027,N007,N019,collector,3,50.0,2700.0,0.89,0.56,SIG005,0,0.7545468325671283,1.0
R0028,N019,N007,collector,2,50.0,1800.0,1.53,-2.26,,0,0.6083821627730317,1.0
R0029,N008,N009,collector,2,40.0,1800.0,1.371,3.96,,0,0.7958421231837285,1.0
R0030,N009,N008,collector,2,30.0,1800.0,1.099,3.48,SIG071,0,0.7419895747194283,1.0
R0031,N008,N020,collector,2,60.0,1800.0,1.486,-1.85,,0,0.7995034503140447,1.0
R0032,N020,N008,collector,3,40.0,2700.0,1.595,2.01,SIG071,0,0.6931030341261197,1.0
R0033,N009,N010,arterial,2,60.0,2070.0,1.287,-3.2,SIG064,0,1.09625306245233,1.0
R0034,N010,N009,arterial,2,30.0,2070.0,1.055,3.32,,0,1.0551922695023663,1.0
R0035,N009,N021,arterial,3,60.0,3105.0,1.183,1.22,SIG007,0,0.995122010693682,1.0
R0036,N021,N009,arterial,3,50.0,3105.0,1.172,2.41,,0,1.0063189536135229,1.0
R0037,N010,N011,collector,1,40.0,900.0,0.781,1.31,,0,0.7351197254146169,1.0
R0038,N011,N010,collector,2,50.0,1800.0,1.624,-3.96,SIG064,0,0.8447561705936653,1.0
R0039,N010,N022,collector,2,30.0,1800.0,1.12,3.02,SIG003,0,0.5667663704057249,1.0
R0040,N022,N010,collector,3,50.0,2700.0,1.206,3.1,SIG064,0,0.6203590566997332,1.0
R0041,N011,N012,collector,1,40.0,900.0,0.877,1.41,,0,0.6622259406407673,1.0
R0042,N012,N011,collector,2,60.0,1800.0,1.19,3.73,,0,0.7559906472715566,1.0
R0043,N011,N023,collector,2,60.0,1800.0,1.586,1.58,SIG002,0,0.6516400507514856,1.0
R0044,N023,N011,collector,2,50.0,1800.0,0.993,3.33,,0,0.7436083514467902,1.0
R0045,N012,N024,collector,2,40.0,1800.0,1.126,-1.81,SIG063,0,0.7731696081717877,1.0
R0046,N024,N012,collector,2,60.0,1800.0,1.779,-2.69,,0,0.8622590310684122,1.0
R0047,N013,N014,collector,2,50.0,1800.0,1.702,-0.07,,0,0.8402055655965007,1.0
R0048,N014,N013,collector,2,50.0,1800.0,0.891,2.28,SIG061,0,0.7056104972770318,1.0
R0049,N013,N025,collector,3,40.0,2700.0,1.651,2.18,SIG068,0,0.6078586195010012,1.0
R0050,N025,N013,collector,3,40.0,2700.0,1.658,1.97,SIG061,0,0.8553808750249378,1.0
R0051,N014,N015,collector,3,40.0,2700.0,1.177,-0.45,SIG001,0,0.6826317787950602,1.0
R0052,N015,N014,collector,2,50.0,1800.0,1.552,2.23,,0,0.817837672214252,1.0
R0053,N014,N026,collector,2,60.0,1800.0,1.698,-0.32,SIG018,0,0.7810147016888385,1.0
R0054,N026,N014,collector,3,30.0,2700.0,1.273,-1.51,,0,0.7431671395951088,1.0
R0055,N015,N016,arterial,2,50.0,2070.0,1.387,-2.76,SIG006,0,0.9913321670744166,1.0
R0056,N016,N015,arterial,2,40.0,2070.0,1.149,3.13,SIG001,0,1.0279194839549364,1.0
R0057,N015,N027,arterial,3,30.0,3105.0,1.022,-3.08,SIG017,0,1.038602722858222,1.0
R0058,N027,N015,arterial,1,50.0,1035.0,1.532,2.73,SIG001,0,1.4035596233359153,1.0
R0059,N016,N017,collector,1,30.0,900.0,1.008,-3.81,,0,0.657535258419273,1.0
R0060,N017,N016,collector,1,60.0,900.0,1.122,-2.48,SIG006,0,0.6970418640808305,1.0
R0061,N016,N028,collector,2,30.0,1800.0,1.757,0.7,SIG016,0,0.6975298501923313,1.0
R0062,N028,N016,collector,3,50.0,2700.0,1.603,-1.33,SIG006,0,0.8411356847591269,1.0
R0063,N017,N018,collector,2,60.0,1800.0,1.583,-0.09,SIG004,0,0.7642818162094516,1.0
R0064,N018,N017,collector,2,60.0,1800.0,1.242,2.28,,0,0.73291467875579,1.0
R0065,N017,N029,collector,2,60.0,1800.0,0.968,-1.07,SIG015,0,0.6842976298962707,1.0
R0066,N029,N017,collector,2,60.0,1800.0,1.552,-2.77,,0,0.8085158524156251,1.0
R0067,N018,N019,arterial,3,30.0,3105.0,1.432,-2.88,SIG005,0,1.0070680001325925,1.0
R0068,N019,N018,arterial,2,30.0,2070.0,1.571,-3.66,SIG004,0,1.3368096966211014,1.0
R0069,N018,N030,arterial,2,50.0,2070.0,1.341,1.19,,0,1.290846060624842,1.0
R0070,N030,N018,arterial,2,50.0,2070.0,1.695,0.69,SIG004,0,1.228504773862681,1.0
R0071,N019,N020,collector,2,50.0,1800.0,1.357,-3.55,,0,0.7671604740428125,1.0
R0072,N020,N019,collector,2,60.0,1800.0,1.337,-1.14,SIG005,0,0.6312869392202213,1.0
R0073,N019,N031,collector,2,40.0,1800.0,1.029,-0.05,SIG014,0,0.6739805024198129,1.0
R0074,N031,N019,collector,3,60.0,2700.0,0.842,2.57,SIG005,0,0.6332195013504331,1.0
R0075,N020,N021,collector,2,60.0,1800.0,0.928,0.49,SIG007,0,0.7780224705168617,1.0
R0076,N021,N020,collector,2,30.0,1800.0,0.991,-0.66,,0,0.610192711589802,1.0
R0077,N020,N032,collector,1,30.0,900.0,1.183,-0.79,,0,0.7015479207211026,1.0
R0078,N032,N020,collector,2,50.0,1800.0,1.744,2.02,,0,0.6633823494814692,1.0
R0079,N021,N022,arterial,2,60.0,2070.0,1.634,3.1,SIG003,0,1.2597987571040714,1.0
R0080,N022,N021,arterial,2,30.0,2070.0,1.301,-3.86,SIG007,0,1.329927819515041,1.0
R0081,N021,N033,arterial,1,50.0,1035.0,1.088,-0.24,,0,1.2435579769861005,1.0
R0082,N033,N021,arterial,2,30.0,2070.0,0.987,-2.6,SIG007,0,1.2934336555713355,1.0
R0083,N022,N023,collector,2,40.0,1800.0,1.19,0.61,SIG002,0,0.8018014977507513,1.0
R0084,N023,N022,collector,2,40.0,1800.0,1.608,2.64,SIG003,0,0.841082593641956,1.0
R0085,N022,N034,collector,2,50.0,1800.0,0.751,-2.83,SIG012,0,0.7239615771966796,1.0
R0086,N034,N022,collector,2,60.0,1800.0,1.366,-2.36,SIG003,0,0.5765754150198703,1.0
R0087,N023,N024,collector,2,60.0,1800.0,1.436,-1.78,SIG063,0,0.6022828895553036,1.0
R0088,N024,N023,collector,3,60.0,2700.0,1.212,-2.43,SIG002,0,0.861398901516363,1.0
R0089,N023,N035,collector,2,40.0,1800.0,1.13,1.09,SIG011,0,0.6520551004410603,1.0
R0090,N035,N023,collector,1,50.0,900.0,1.581,1.24,SIG002,0,0.6231892997806558,1.0
R0091,N024,N036,collector,1,30.0,900.0,1.296,0.95,SIG070,0,0.7143975969397734,1.0
R0092,N036,N024,collector,2,40.0,1800.0,1.131,3.87,SIG063,0,0.7438735438562079,1.0
R0093,N025,N026,arterial,1,60.0,1035.0,1.605,1.55,SIG018,0,1.0279595687002694,1.0
