candidate_id,target_segment,intervention_type,capacity_delta_vph,cost_index,feasibility_band
PLAN0376,R0377,capacity_upgrade,500,12,medium
PLAN0132,R0133,capacity_upgrade,500,12,medium
PLAN0343,R0344,turn_lane,450,5,low
PLAN0032,R0033,signal_retiming,250,2,low
PLAN0060,R0061,connector,700,18,high
PLAN0004,R0005,lane_addition,900,8,medium
PLAN0387,R0388,signal_retiming,250,2,low
PLAN0254,R0255,signal_retiming,250,2,low
PLAN0106,R0107,capacity_upgrade,500,12,medium
PLAN0159,R0160,connector,700,18,high
PLAN0338,R0339,lane_addition,900,8,medium
PLAN0160,R0161,turn_lane,450,5,low
PLAN0244,R0245,lane_addition,900,8,medium
PLAN0047,R0048,connector,700,18,high
PLAN0002,R0003,lane_addition,900,8,medium
PLAN0246,R0247,lane_addition,900,8,medium
PLAN0018,R0019,connector,700,18,high
PLAN0166,R0167,turn_lane,450,5,low
PLAN0080,R0081,turn_lane,450,5,low
PLAN0233,R0234,signal_retiming,250,2,low
PLAN0095,R0096,turn_lane,450,5,low
PLAN0097,R0098,lane_addition,900,8,medium
PLAN0298,R0299,capacity_upgrade,500,12,medium
PLAN0232,R0233,connector,700,18,high
PLAN0088,R0089,turn_lane,450,5,low
PLAN0433,R0434,turn_lane,450,5,low
PLAN0228,R0229,capacity_upgrade,500,12,medium
PLAN0361,R0362,lane_addition,900,8,medium
PLAN0388,R0389,connector,700,18,high
PLAN0220,R0221,capacity_upgrade,500,12,medium
PLAN0396,R0397,connector,700,18,high
PLAN0099,R0100,turn_lane,450,5,low
PLAN0365,R0366,turn_lane,450,5,low
PLAN0424,R0425,lane_addition,900,8,medium
PLAN0339,R0340,lane_addition,900,8,medium
PLAN0194,R0195,signal_retiming,250,2,low
PLAN0377,R0378,lane_addition,900,8,medium
PLAN0345,R0346,capacity_upgrade,500,12,medium
PLAN0127,R0128,capacity_upgrade,500,12,medium
PLAN0015,R0016,capacity_upgrade,500,12,medium
PLAN0139,R0140,lane_addition,900,8,medium
PLAN0379,R0380,capacity_upgrade,500,12,medium
PLAN0057,R0058,lane_addition,900,8,medium
PLAN0349,R0350,signal_retiming,250,2,low
PLAN0383,R0384,signal_retiming,250,2,low
PLAN0017,R0018,capacity_upgrade,500,12,medium
PLAN0197,R0198,capacity_upgrade,500,12,medium
PLAN0293,R0294,connector,700,18,high
PLAN0242,R0243,lane_addition,900,8,medium
PLAN0055,R0056,signal_retiming,250,2,low
PLAN0155,R0156,lane_addition,900,8,medium
PLAN0122,R0123,lane_addition,900,8,medium
PLAN0089,R0090,signal_retiming,250,2,low
PLAN0195,R0196,lane_addition,900,8,medium
PLAN0362,R0363,lane_addition,900,8,medium
PLAN0165,R0166,signal_retiming,250,2,low
PLAN0415,R0416,connector,700,18,high
PLAN0288,R0289,connector,700,18,high
PLAN0357,R0358,capacity_upgrade,500,12,medium
PLAN0124,R0125,capacity_upgrade,500,12,medium
PLAN0321,R0322,capacity_upgrade,500,12,medium
PLAN0414,R0415,turn_lane,450,5,low
PLAN0105,R0106,connector,700,18,high
PLAN0337,R0338,turn_lane,450,5,low
PLAN0171,R0172,turn_lane,450,5,low
PLAN0310,R0311,lane_addition,900,8,medium
PLAN0428,R0429,connector,700,18,high
PLAN0175,R0176,capacity_upgrade,500,12,medium
PLAN0023,R0024,capacity_upgrade,500,12,medium
PLAN0211,R0212,lane_addition,900,8,medium
PLAN0138,R0139,lane_addition,900,8,medium
PLAN0031,R0032,connector,700,18,high
PLAN0039,R0040,turn_lane,450,5,low
PLAN0072,R0073,lane_addition,900,8,medium
PLAN0034,R0035,connector,700,18,high
PLAN0351,R0352,capacity_upgrade,500,12,medium
PLAN0181,R0182,lane_addition,900,8,medium
PLAN0267,R0268,capacity_upgrade,500,12,medium
PLAN0174,R0175,connector,700,18,high
PLAN0193,R0194,connector,700,18,high
PLAN0042,R0043,lane_addition,900,8,medium
PLAN0272,R0273,signal_retiming,250,2,low
PLAN0090,R0091,connector,700,18,high
PLAN0411,R0412,turn_lane,450,5,low
PLAN0013,R0014,turn_lane,450,5,low
PLAN0277,R0278,connector,700,18,high
PLAN0036,R0037,lane_addition,900,8,medium
PLAN0071,R0072,signal_retiming,250,2,low
PLAN0333,R0334,signal_retiming,250,2,low
PLAN0069,R0070,signal_retiming,250,2,low
